Name_x,URL,ZIP,Avg. Exposure,Stars,Latitude,Longitude,Address,Place-ID,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Vico Cavone,/biz/vico-cavone-san-francisco?osq=Restaurants,94114,0.177257523666667,4,37.7608802,-122.4369412,"4248 18th St, San Francisco, CA 94114, United States",ChIJo5-0wD5_j4ARVefQnmPZZ3M,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Ken,/biz/ken-san-francisco?osq=Restaurants,94117,0.018156515,3.3,37.771477,-122.4369169,"252 Divisadero St, San Francisco, CA 94117, United States",ChIJl6amiD-BhYAR2M4TI-tGoUU,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Q's Sandwich Shop,/biz/qs-sandwich-shop-san-francisco?osq=Restaurants,94117,0.056759882,4.9,37.7715791,-122.4368991,"258 Divisadero St, San Francisco, CA 94117, United States",ChIJIQ9hdO6BhYARCFi9O120YRU,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
ILCHA,/biz/ilcha-san-francisco?osq=Restaurants,94123,0.168174131666667,4.4,37.7995055,-122.4368309,"2151 Lombard St, San Francisco, CA 94123, United States",ChIJJRkByNCAhYARcT6uozdSsTs,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,0
Nippon Curry featuring Hinoya Curry,/biz/nippon-curry-featuring-hinoya-curry-san-francisco?osq=Restaurants,94123,0.064471509,4.2,37.8004898,-122.4364719,"3347 Fillmore St, San Francisco, CA 94123, United States",ChIJy9yewFKBhYARuMwIi9hy0z0,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,0
Dash Japanese Tapas & Sushi,/biz/dash-japanese-tapas-and-sushi-san-francisco?osq=Restaurants,94114,0.140627946333333,4.9,37.7515165,-122.4361741,"737 Diamond St, San Francisco, CA 94114, United States",ChIJR06YrW9_j4ARVFjz4RFPPO8,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Diamond Cafe,/biz/diamond-cafe-san-francisco?osq=Restaurants,94114,0.0683572263333333,2.8,37.7512849,-122.4361518,"751 Diamond St, San Francisco, CA 94114, United States",ChIJwwBtkg1-j4ARNAU_kCNTPy8,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Bon AppeTikka,/biz/bon-appetikka-san-francisco-3?osq=Restaurants,94114,0.026946528,4.3,37.751312,-122.4355664,"4166 24th St, San Francisco, CA 94114, United States",ChIJc9dzSFZ_j4ARKfFl-_Co07o,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Bhoga,/biz/bhoga-san-francisco-2?osq=Restaurants,94114,0.0344407953333333,4.2,37.7613904,-122.435237,"468 Castro St, San Francisco, CA 94114, United States",ChIJA2rxc9R_j4ARYUjBySyT6QY,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Blush!,/biz/blush-san-francisco?osq=Restaurants,94114,0.038575274,3.9,37.7612865,-122.4352265,"476 Castro St, San Francisco, CA 94114, United States",ChIJpyuHNRt-j4ARi-WLHR3Fsto,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Wasabi Bistro,/biz/wasabi-bistro-san-francisco?osq=Restaurants,94114,0.065891019,4.2,37.7604207,-122.4351774,"524 Castro St, San Francisco, CA 94114, United States",ChIJATa0Lht-j4ARYhqlmWOC4qY,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
