Restaurant,Latitude,Longitude,Address,Place-ID,URL,Stars,ZIP,Attractions,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Hotspot
ZongZi House,37.2967329,-121.9504301,"1505 S Winchester Blvd, San Jose, CA 95117, United States",ChIJKQpL7H01joARoWlMAu8iYG0,/biz/zongzi-house-san-jose?osq=Restaurants,4.7,95128,1,0.108777139,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,1
Uncle John's Pancake House - Winchester,37.285203,-121.950111,"2125 S Winchester Blvd, Campbell, CA 95008, United States",ChIJRzAr_iA1joAROp6CYEzXFEU,/biz/uncle-johns-pancake-house-winchester-campbell?osq=Restaurants,4,95008,1,0.0515965426666667,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
Super Tamales,37.3156753,-121.9496735,"602 S Winchester Blvd, San Jose, CA 95128, United States",ChIJky8lUwrLj4ARPiTU_xjtr6I,/biz/super-tamales-san-jose-4?osq=Restaurants,5,95136,1,0.013821722,20480,41.9,2475,5.1,313,0.6,15764,32.3,293,0.6,4018,53.3,3.4,131879,1
Sauced BBQ & Spirits - San Jose,37.320991,-121.9496174,"3055 Olin Ave #1005, San Jose, CA 95128, United States",ChIJLx1gc33Lj4AR8ixttG2LqBc,/biz/sauced-bbq-and-spirits-san-jose-san-jose-4?osq=Restaurants,3.9,95128,1,0.141239888333333,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
South Winchester BBQ,37.2994088,-121.9495929,"1362 S Winchester Blvd, San Jose, CA 95128, United States",ChIJSRo6Vyo1joARjWyvgQaVBeg,/biz/south-winchester-bbq-san-jose?osq=Restaurants,3.9,95128,1,0.121755697333333,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,1
Mendocino Farms,37.3190837,-121.9486391,"3090 Olsen Dr, San Jose, CA 95128, United States",ChIJTWtHdN_Kj4AR6G5oOlxvruw,/biz/mendocino-farms-san-jose-2?osq=Restaurants,3.7,95128,1,0.113087728,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,1
Mendocino Farms,37.3190837,-121.9486391,"3090 Olsen Dr, San Jose, CA 95128, United States",ChIJTWtHdN_Kj4AR6G5oOlxvruw,/biz/mendocino-farms-campbell?osq=Restaurants,4.1,95008,1,0.0972587213333333,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
Left Wing - San Jose,37.3190599,-121.948472,"3090 Olsen Dr #11015, San Jose, CA 95128, United States",ChIJ-_V-azDLj4ARCK-djHfpX_k,/biz/left-wing-san-jose-san-jose?osq=Restaurants,4.3,95128,1,0.133275582,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,1
Locanda Sorrento,37.2869637,-121.9483633,"76 E Campbell Ave, Campbell, CA 95008, United States",ChIJnf6wFeA1joAREDiebaBqq3o,/biz/locanda-sorrento-campbell?osq=Restaurants,4.7,95008,1,0.188632803333333,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,0
Locanda Sorrento,37.2869637,-121.9483633,"76 E Campbell Ave, Campbell, CA 95008, United States",ChIJnf6wFeA1joAREDiebaBqq3o,/biz/locanda-sorrento-campbell?osq=Restaurants,4.7,95008,1,0.188632803333333,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,0
Meso Modern Mediterranean,37.3190375,-121.9482373,"3060 Olsen Dr Ste 50, San Jose, CA 95128, United States",ChIJj7Bodt_Kj4ARiVIfRrZGYMM,/biz/meso-modern-mediterranean-san-jose-2?osq=Restaurants,4,95128,1,0.205882675666667,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
Zazil Cocina Mexicana,37.3193559,-121.9481668,"377 Santana Row # 1120, San Jose, CA 95128, United States",ChIJa2smf-rLj4AR0NLgRZIvx-I,/biz/zazil-cocina-mexicana-san-jose?osq=Restaurants,3.3,95128,1,0.0088211756666666,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,1
Ozumo Santana Row,37.3210193,-121.9480825,"355 Santana Row, San Jose, CA 95128, United States",ChIJVVUV79_Kj4ARcuoa0akbvK4,/biz/ozumo-santana-row-san-jose-2?osq=Restaurants,4.1,95128,1,0.16736914,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,1
Oveja Negra Restaurant,37.3208717,-121.948082,"355 Santana Row, San Jose, CA 95128, United States",ChIJkS_Y6N_Kj4ARVVgLTuumzoQ,/biz/oveja-negra-restaurant-san-jose-3?osq=Restaurants,3.8,95128,1,0.139864731,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
Rantei Japanese Cuisine,37.348743,-121.947704,"1271 Franklin Mall, Santa Clara, CA 95050, United States",ChIJJcPS7OTLj4ARmzlDXZ8ZghI,/biz/rantei-japanese-cuisine-santa-clara?osq=Restaurants,3.8,95050,0,0.174196369666667,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
Yard House,37.32309,-121.94763,"300 Santana Row Suite 101, San Jose, CA 95128, United States",ChIJNUrKGODKj4ARL6j4poDhmic,/biz/yard-house-san-jose-4?osq=Restaurants,4.7,95128,1,0.0436225013333333,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
Dumpling Time,37.3199668,-121.9476115,"SERRANO Building, 378 Santana Row #1035, San Jose, CA 95128, United States",ChIJbbmaN_XLj4ARQQ3SaMyLo7w,/biz/dumpling-time-san-jose?osq=Restaurants,3.9,95128,1,0.133533369333333,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
Pizza Antica,37.3218093,-121.9475526,"334 Santana Row #1065, San Jose, CA 95128, United States",ChIJqcnd-9_Kj4ARRPQ6FN9MIQw,/biz/pizza-antica-san-jose?osq=Restaurants,3.8,95128,1,0.148930637333333,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
Momosan Santana Row,37.3193431,-121.947511,"378 Santana Row #1130, San Jose, CA 95128, United States",ChIJMdJBgN_Kj4ARDct_tyduFtA,/biz/momosan-santana-row-san-jose?osq=Restaurants,3.5,95128,1,0.141278135,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
EMC Seafood & Raw Bar,37.3198075,-121.9474666,"378 Santana Row #1100, San Jose, CA 95128, United States",ChIJR9pum9_Kj4ARE8AixtFwjDo,/biz/emc-seafood-and-raw-bar-san-jose-3?osq=Restaurants,3.6,95128,1,0.0889593306666667,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
iChina,37.3244365,-121.947183,"2855 Stevens Creek Blvd, San Jose, CA 95050, United States",ChIJFZ-pKx7Lj4ARFAbcFYIuRK4,/biz/ichina-santa-clara?osq=Restaurants,4.5,95050,0,0.139788674333333,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,0
Shake Shack Valley Fair,37.3245728,-121.9471572,"2855 Stevens Creek Blvd Suite 1748, Santa Clara, CA 95050, United States",ChIJRTUZ2_fLj4ARxlCkW76xIYo,/biz/shake-shack-valley-fair-santa-clara?osq=Restaurants,2.8,95050,0,0.008763723,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,0
Marugame Udon,37.3253292,-121.9470502,"2855 Stevens Creek Blvd store 2172, Santa Clara, CA 95050, United States",ChIJ8ftjHxTLj4ARnUJhbL983Jc,/biz/marugame-udon-santa-clara?osq=Restaurants,4.1,95050,0,0.008773408,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,0
Ramen Nagi,37.3250805,-121.9470289,"2855 Stevens Creek Blvd, Santa Clara, CA 95050, United States",ChIJdWkLR9zLj4ARUf7Gj52Rw6Y,/biz/ramen-nagi-santa-clara?osq=Restaurants,4.5,95050,0,0.177886421,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
Euro Grill,37.3542486,-121.9468457,"980 El Camino Real #100, Santa Clara, CA 95050, United States",ChIJ5dgwMbPLj4ARc3mEptq6Nxw,/biz/euro-grill-santa-clara?osq=Restaurants,4.5,95050,0,0.0470962776666667,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
La Pizza & La Pasta,37.324473,-121.9467336,"2855 Stevens Creek Blvd, Santa Clara, CA 95050, United States",ChIJHW3ImW7Lj4ARudRBL-L6I8A,/biz/la-pizza-and-la-pasta-santa-clara?osq=Restaurants,5,95050,0,0.124206776333333,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
Manresa Bread,37.2872623,-121.9466851,"195 E Campbell Ave, Campbell, CA 95008, United States",ChIJtz3yZ2I1joAR4RzTnkzbwv8,/biz/manresa-bread-campbell-4?osq=Restaurants,3.8,95008,1,0.0437912306666667,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
Manresa,37.2872623,-121.9466851,"195 E Campbell Ave, Campbell, CA 95008, United States",ChIJtz3yZ2I1joAR4RzTnkzbwv8,/biz/manresa-los-gatos-2?osq=Restaurants,4,95030,0,0.168368891333333,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,1
One Fish Raw Bar,37.28727,-121.94654,"193 E Campbell Ave  Campbell, CA 95008",-,/biz/one-fish-raw-bar-campbell?osq=Restaurants,3.9,95008,1,0.131709264,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
Kang Ho Dong Baekjeong,37.3241056,-121.946468,"2855 Stevens Creek Blvd #1808, Santa Clara, CA 95050, United States",ChIJe56Tjt3Lj4AR0FTNz6rdazA,/biz/kang-ho-dong-baekjeong-santa-clara?osq=Restaurants,4.1,95050,0,0.0648737573333333,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
Wild Rose Eatery and Bar,37.2868705,-121.9464336,"200 E Campbell Ave, Campbell, CA 95008, United States",ChIJdy5h_tQ1joARZoqH9oDd3uI,/biz/wild-rose-eatery-and-bar-campbell-2?osq=Restaurants,4.5,95008,1,0.185302377666667,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
King's Fish House - San Jose,37.3241508,-121.9459721,"2855 Stevens Creek Blvd, San Jose, CA 95128, United States",ChIJVVVVUB7Lj4ARYzeDPpibxI4,/biz/kings-fish-house-san-jose-san-jose?osq=Restaurants,3.9,95128,1,0.279253699333333,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,1
La Catalana,37.4101921,-121.9453023,"3720 N First St UNIT 10, San Jose, CA 95134, United States",ChIJGZJsxgfJj4ARSCvMIRhb0s0,/biz/la-catalana-san-jose?osq=Restaurants,5,95134,0,0.136487476666667,7486,24,693,2.2,73,0.2,18632,59.8,297,1,12033,86.9,2.4,166828,1
AnQi Shaken & Stirred,37.3243244,-121.9450682,"2847 Stevens Creek Blvd, San Jose, CA 95050, United States",ChIJXQr8eTPLj4ARIpqHSKhbSlY,/biz/anqi-shaken-and-stirred-santa-clara?osq=Restaurants,4.2,95050,0,0.021784897,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
Water Tower Kitchen,37.2865418,-121.9439141,"201 Orchard City Dr, Campbell, CA 95008, United States",ChIJU-3zRtg1joAR7DyutdAhfwI,/biz/water-tower-kitchen-campbell?osq=Restaurants,4.2,95008,1,0.157701076333333,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
